,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
185,182,KL Rahul,422108,Rubel Hossain,300619,"Rubel Hossain to Rahul, 1 run short, and he hangs back and cuts this viciously. Won't beat deep point, though",1st innings,30.2,run,182,1,182/1,"Rubel Hossain to Rahul, 1 run",,"short, and he hangs back and cuts this viciously. Won't beat deep point, though",1
186,183,Virat Kohli,253802,Rubel Hossain,300619,"Rubel Hossain to Kohli, no run length, and he drives this on the up. Just lands short of short midwicket",1st innings,30.3,no run,182,0,182/1,"Rubel Hossain to Kohli, no run",,"length, and he drives this on the up. Just lands short of short midwicket",1
187,184,Virat Kohli,253802,Rubel Hossain,300619,"Rubel Hossain to Kohli, 1 run length, jags back into him, and he drops it at his feet and sets off for a quick single",1st innings,30.4,run,183,1,183/1,"Rubel Hossain to Kohli, 1 run",,"length, jags back into him, and he drops it at his feet and sets off for a quick single",1
188,185,KL Rahul,422108,Rubel Hossain,300619,"Rubel Hossain to Rahul, 1 run length, and he chips it to the right of cover and gets a single",1st innings,30.5,run,184,1,184/1,"Rubel Hossain to Rahul, 1 run",,"length, and he chips it to the right of cover and gets a single",1
189,186,Virat Kohli,253802,Rubel Hossain,300619,"Rubel Hossain to Kohli, no run length, outside off, and he punches this to covers. Travels really fast, and that eliminates any thoughts of going for a run",1st innings,30.6,no run,184,0,184/1,"Rubel Hossain to Kohli, no run",,"length, outside off, and he punches this to covers. Travels really fast, and that eliminates any thoughts of going for a run",1
190,187,KL Rahul,422108,Soumya Sarkar,436677,"Soumya Sarkar to Rahul, 2 runs length, outside off, and his bottom hand comes off as he <strong>tries to go inside out</strong>. Skews it in the air, past point, and the sweeper at the deep point fence cleans up",1st innings,31.1,run,186,2,186/1,"Soumya Sarkar to Rahul, 2 runs",,"length, outside off, and his bottom hand comes off as he <strong>tries to go inside out</strong>. Skews it in the air, past point, and the sweeper at the deep point fence cleans up",1
191,188,KL Rahul,422108,Soumya Sarkar,436677,"Soumya Sarkar to Rahul, 1 run flicked off his hips to a length ball on off stump, as he shimmies across the stumps a touch. Gets it down to deep square leg",1st innings,31.2,run,187,1,187/1,"Soumya Sarkar to Rahul, 1 run",,"flicked off his hips to a length ball on off stump, as he shimmies across the stumps a touch. Gets it down to deep square leg",1
192,189,Virat Kohli,253802,Soumya Sarkar,436677,"Soumya Sarkar to Kohli, no run length, outside off, and he drops it as his feet. Wants a single, but Sarkar is quick to get to it on his follow-through",1st innings,31.3,no run,187,0,187/1,"Soumya Sarkar to Kohli, no run",,"length, outside off, and he drops it as his feet. Wants a single, but Sarkar is quick to get to it on his follow-through",1
193,190,Virat Kohli,253802,Soumya Sarkar,436677,"Soumya Sarkar to Kohli, no run full, and he plays it away towards short midwicket",1st innings,31.4,no run,187,0,187/1,"Soumya Sarkar to Kohli, no run",,"full, and he plays it away towards short midwicket",1
194,191,Virat Kohli,253802,Soumya Sarkar,436677,"Soumya Sarkar to Kohli, 2 runs fuller, down the pads, and he can flick this away towards long leg. Enough running for the man to do there...two runs on offer",1st innings,31.5,run,189,2,189/1,"Soumya Sarkar to Kohli, 2 runs",,"fuller, down the pads, and he can flick this away towards long leg. Enough running for the man to do there...two runs on offer",1
195,192,Virat Kohli,253802,Soumya Sarkar,436677,"Soumya Sarkar to Kohli, 1 run length ball, and he drops it just short of cover and sets off for a quick single",1st innings,31.6,run,190,1,190/1,"Soumya Sarkar to Kohli, 1 run",,"length ball, and he drops it just short of cover and sets off for a quick single",1
196,193,Virat Kohli,253802,Rubel Hossain,300619,"Rubel Hossain to Kohli, no run length, lifts off as it pitches and moves away from Kohli, as he shapes to drive. Close to the outside edge",1st innings,32.1,no run,190,0,190/1,"Rubel Hossain to Kohli, no run",,"length, lifts off as it pitches and moves away from Kohli, as he shapes to drive. Close to the outside edge",1
